============================= test session starts ==============================
platform linux -- Python 3.12.13, pytest-9.1.1, pluggy-1.6.0 -- /app/.venv/bin/python
cachedir: .pytest_cache
rootdir: /app
configfile: pyproject.toml
testpaths: tests
plugins: cov-7.1.0, anyio-4.14.1, asyncio-1.4.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 654 items

tests/unit/cli/test_admin.py::test_create_admin_success PASSED           [  0%]
tests/unit/cli/test_admin.py::test_create_admin_already_exists PASSED    [  0%]
tests/unit/cli/test_admin.py::test_reset_password_success PASSED         [  0%]
tests/unit/cli/test_admin.py::test_reset_password_not_found PASSED       [  0%]
tests/unit/cli/test_admin.py::test_main_create_admin PASSED              [  0%]
tests/unit/cli/test_admin.py::test_main_reset_password PASSED            [  0%]
tests/unit/cli/test_admin.py::test_main_no_args PASSED                   [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_empty_command PASSED     [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_not_allowed_command PASSED [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_success PASSED           [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_with_stderr PASSED       [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_empty_output PASSED      [  1%]
tests/unit/routes/app_routes/test_main.py::test_apps_list_unauthenticated PASSED [  1%]
tests/unit/routes/app_routes/test_main.py::test_apps_list_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_app_detail_not_found PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_app_detail_main_domain PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_deploy_from_repo_requires_login PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_restart_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_stop_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_delete_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_status_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_update_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_containers_requires_login PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_env_get_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_clone_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_backup_restore_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_backup_run_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_files_list_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_files_view_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_terminal_requires_login PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_terminal_get_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_ops.py::test_env_post_authenticated PASSED [  4%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_flush_cache_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_update_plugins_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_update_core_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_auto_login_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_proxy_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_proxy_service_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_wp_fix_url_requires_login PASSED [  5%]
tests/unit/routes/app_routes/test_wordpress.py::test_fix_wp_site_url_calls_docker PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPage::test_login_page_renders PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPage::test_login_page_redirects_if_authenticated PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_invalid_credentials PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_valid_credentials_no_totp PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_totp_required PASSED [  6%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_totp_invalid_code PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLoginPost::test_login_valid_totp PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_no_cookie PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_with_invalid_cookie PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestLogout::test_logout_with_valid_session PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_unauthenticated PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_authenticated PASSED [  7%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_enable_invalid_code PASSED [  8%]
tests/unit/routes/test_auth_routes.py::TestSetup2FA::test_setup_2fa_enable_success PASSED [  8%]
tests/unit/routes/test_containers_route.py::test_get_containers_data_cancels_docker_task_when_database_fails PASSED [  8%]
tests/unit/routes/test_containers_route.py::test_get_containers_data_cancels_database_task_when_docker_fails PASSED [  8%]
tests/unit/routes/test_dashboard.py::test_disk_usage PASSED              [  8%]
tests/unit/routes/test_dashboard.py::test_disk_usage_exception PASSED    [  8%]
tests/unit/routes/test_dashboard.py::test_server_hostname PASSED         [  9%]
tests/unit/routes/test_dashboard.py::test_server_hostname_fallback PASSED [  9%]
tests/unit/routes/test_dashboard.py::test_server_hostname_exception PASSED [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage PASSED               [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage_cap_100 PASSED       [  9%]
tests/unit/routes/test_dashboard.py::test_cpu_usage_exception PASSED     [  9%]
tests/unit/routes/test_dashboard.py::test_ram_usage PASSED               [  9%]
