============================= test session starts ==============================
platform linux -- Python 3.12.13, pytest-9.1.1, pluggy-1.6.0 -- /app/.venv/bin/python
cachedir: .pytest_cache
rootdir: /app
configfile: pyproject.toml
testpaths: tests
plugins: cov-7.1.0, anyio-4.14.1, asyncio-1.4.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 665 items

tests/unit/cli/test_admin.py::test_create_admin_success PASSED           [  0%]
tests/unit/cli/test_admin.py::test_create_admin_already_exists PASSED    [  0%]
tests/unit/cli/test_admin.py::test_reset_password_success PASSED         [  0%]
tests/unit/cli/test_admin.py::test_reset_password_not_found PASSED       [  0%]
tests/unit/cli/test_admin.py::test_main_create_admin PASSED              [  0%]
tests/unit/cli/test_admin.py::test_main_reset_password PASSED            [  0%]
tests/unit/cli/test_admin.py::test_main_no_args PASSED                   [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_empty_command PASSED     [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_not_allowed_command PASSED [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_success PASSED           [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_with_stderr PASSED       [  1%]
tests/unit/core/test_sudo_ops.py::test_run_sudo_empty_output PASSED      [  1%]
tests/unit/routes/app_routes/test_main.py::test_apps_list_unauthenticated PASSED [  1%]
tests/unit/routes/app_routes/test_main.py::test_apps_list_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_app_detail_not_found PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_app_detail_main_domain PASSED [  2%]
tests/unit/routes/app_routes/test_main.py::test_deploy_from_repo_requires_login PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_restart_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_stop_authenticated PASSED [  2%]
tests/unit/routes/app_routes/test_ops.py::test_delete_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_status_authenticated PASSED [  3%]
tests/unit/routes/app_routes/test_ops.py::test_update_authenticated PASSED [  3%]
